,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 36,2016-11-10
1,Tomotto ottu / Thakkali Ottu, 1, 8,2016-11-10
2,Lady’s Finger / Venda Kai, 1, 26,2016-11-10
3,Snake Guard / Pudalai, 1, 18,2016-11-10
4,Bitter Gourd / Pakar kai, 1, 26,2016-11-10
5,Bottle gourd / Sura kai, 1, 8,2016-11-10
6,Pumpkin / Pusani kai, 1, 20,2016-11-10
7,Beans / Avarai Kai, 1, 36,2016-11-10
8,Cluster Beans / Kothavarai, 1, 20,2016-11-10
9,Red Chilies / Kundu Milagai, 1, 26,2016-11-10
10,Small Onion / Chinna Vengayam, 1, 28,2016-11-10
11,Big Onion / Pallari, 1, 16,2016-11-10
12,Ginger / Inji, 1, –,2016-11-10
13,Potato / Urulai Kelangu, 1, 30,2016-11-10
14,Radish / Mulangi, 1, 16,2016-11-10
15,Mango / Maa, 1, –,2016-11-10
16,Cabbage / Mutta Kose, 1, 20,2016-11-10
17,Carrot, 1, 36,2016-11-10
18,Beetroot, 1, 30,2016-11-10
19,Soya Beans, 1, 120,2016-11-10
20,Drumstick Beans / Murungai Beans, 1, 40,2016-11-10
21,Butter beans, 1, –,2016-11-10
22,Banana nut / Vala kai, 1 piece, 4,2016-11-10
23,Banana stem / Vala Thandu, 1, 10,2016-11-10
24,Banana Flower / Vala Poo, 1, 10,2016-11-10
25,Curry leaves / Karu Vepilai, 1, 20,2016-11-10
26,Coriander leaves / Malli Ilai, 1, 15,2016-11-10
27,Mint / Puthina, 1, 15,2016-11-10
28,Greens Leaves / Keerai Kattu, 1, 12,2016-11-10
29,Garlic / Poondu, 1, –,2016-11-10
30,Button Mushrooms / Button Kaalan, 1, –,2016-11-10
31,Papaya / Papali, 1, 20,2016-11-10
32,Sav Sav, 1, 20,2016-11-10
33,Sapotta, 1, –,2016-11-10
34,Puli / Tamarind, 1, 90,2016-11-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 60,2016-1-10
1,Tomotto ottu / Thakkali Ottu, 1, 48,2016-1-10
2,Lady’s Finger / Venda Kai, 1, 40,2016-1-10
3,Snake Guard / Pudalai, 1, 30,2016-1-10
4,Bitter Gourd / Pakar kai, 1, 40,2016-1-10
5,Bottle gourd / Sura kai, 1, 14,2016-1-10
6,Pumpkin / Pusani kai, 1, 16,2016-1-10
7,Beans / Avarai Kai, 1, 50,2016-1-10
8,Cluster Beans / Kothavarai, 1, 30,2016-1-10
9,Red Chilies / Kundu Milagai, 1, 60,2016-1-10
10,Small Onion / Chinna Vengayam, 1, 30,2016-1-10
11,Big Onion / Pallari, 1, 30,2016-1-10
12,Ginger / Inji, 1, –,2016-1-10
13,Potato / Urulai Kelangu, 1, 24,2016-1-10
14,Radish / Mulangi, 1, 30,2016-1-10
15,Mango / Maa, 1, –,2016-1-10
16,Cabbage / Mutta Kose, 1, 30,2016-1-10
17,Carrot, 1, 60,2016-1-10
18,Beetroot, 1, 60,2016-1-10
19,Soya Beans, 1, 100,2016-1-10
20,Drumstick Beans / Murungai Beans, 1, 60,2016-1-10
21,Butter beans, 1, –,2016-1-10
22,Banana nut / Vala kai, 1 piece, 4,2016-1-10
23,Banana stem / Vala Thandu, 1, 10,2016-1-10
24,Banana Flower / Vala Poo, 1, 8,2016-1-10
25,Curry leaves / Karu Vepilai, 1, 15,2016-1-10
26,Coriander leaves / Malli Ilai, 1, 20,2016-1-10
27,Mint / Puthina, 1, 20,2016-1-10
28,Greens Leaves / Keerai Kattu, 1, 12,2016-1-10
29,Garlic / Poondu, 1, –,2016-1-10
30,Button Mushrooms / Button Kaalan, 1, 180,2016-1-10
31,Papaya / Papali, 1, 20,2016-1-10
32,Sav Sav, 1, 24,2016-1-10
33,Sapotta, 1, 20,2016-1-10
34,Field bean / Mochai, 1, 36,2016-1-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 30,2016-12-10
1,Tomotto ottu / Thakkali Ottu, 1, 7,2016-12-10
2,Lady’s Finger / Venda Kai, 1, 18,2016-12-10
3,Snake Guard / Pudalai, 1, 14,2016-12-10
4,Bitter Gourd / Pakar kai, 1, 24,2016-12-10
5,Bottle gourd / Sura kai, 1, 8,2016-12-10
6,Pumpkin / Pusani kai, 1, 20,2016-12-10
7,Beans / Avarai Kai, 1, 28,2016-12-10
8,Cluster Beans / Kothavarai, 1, 20,2016-12-10
9,Red Chilies / Kundu Milagai, 1, 24,2016-12-10
10,Small Onion / Chinna Vengayam, 1, 22,2016-12-10
11,Big Onion / Pallari, 1, 18,2016-12-10
12,Ginger / Inji, 1, –,2016-12-10
13,Potato / Urulai Kelangu, 1, 30,2016-12-10
14,Radish / Mulangi, 1, 12,2016-12-10
15,Mango / Maa, 1, –,2016-12-10
16,Cabbage / Mutta Kose, 1, 16,2016-12-10
17,Carrot, 1, 24,2016-12-10
18,Beetroot, 1, 26,2016-12-10
19,Soya Beans, 1, 120,2016-12-10
20,Drumstick Beans / Murungai Beans, 1, 40,2016-12-10
21,Butter beans, 1, –,2016-12-10
22,Banana nut / Vala kai, 1 piece, 5,2016-12-10
23,Banana stem / Vala Thandu, 1, 10,2016-12-10
24,Banana Flower / Vala Poo, 1, 10,2016-12-10
25,Curry leaves / Karu Vepilai, 1, 20,2016-12-10
26,Coriander leaves / Malli Ilai, 1, 15,2016-12-10
27,Mint / Puthina, 1, 15,2016-12-10
28,Greens Leaves / Keerai Kattu, 1, 10,2016-12-10
29,Garlic / Poondu, 1, –,2016-12-10
30,Button Mushrooms / Button Kaalan, 1, –,2016-12-10
31,Papaya / Papali, 1, 25,2016-12-10
32,Sav Sav, 1, 20,2016-12-10
33,Sapotta, 1, –,2016-12-10
34,Puli / Tamarind, 1, 80,2016-12-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 56,2016-2-10
1,Tomotto ottu / Thakkali Ottu, 1, 10,2016-2-10
2,Lady’s Finger / Venda Kai, 1, 34,2016-2-10
3,Snake Guard / Pudalai, 1, 22,2016-2-10
4,Bitter Gourd / Pakar kai, 1, 30,2016-2-10
5,Bottle gourd / Sura kai, 1, 8,2016-2-10
6,Pumpkin / Pusani kai, 1, 14,2016-2-10
7,Beans / Avarai Kai, 1, 32,2016-2-10
8,Cluster Beans / Kothavarai, 1, 24,2016-2-10
9,Red Chilies / Kundu Milagai, 1, 40,2016-2-10
10,Small Onion / Chinna Vengayam, 1, 24,2016-2-10
11,Big Onion / Pallari, 1, 20,2016-2-10
12,Ginger / Inji, 1, –,2016-2-10
13,Potato / Urulai Kelangu, 1, 26,2016-2-10
14,Radish / Mulangi, 1, 14,2016-2-10
15,Mango / Maa, 1, –,2016-2-10
16,Cabbage / Mutta Kose, 1, 20,2016-2-10
17,Carrot, 1, 44,2016-2-10
18,Beetroot, 1, 36,2016-2-10
19,Soya Beans, 1, 120,2016-2-10
20,Drumstick Beans / Murungai Beans, 1, 56,2016-2-10
21,Butter beans, 1, –,2016-2-10
22,Banana nut / Vala kai, 1 piece, 4,2016-2-10
23,Banana stem / Vala Thandu, 1, 12,2016-2-10
24,Banana Flower / Vala Poo, 1, 10,2016-2-10
25,Curry leaves / Karu Vepilai, 1, 40,2016-2-10
26,Coriander leaves / Malli Ilai, 1, 20,2016-2-10
27,Mint / Puthina, 1, 20,2016-2-10
28,Greens Leaves / Keerai Kattu, 1, 10,2016-2-10
29,Garlic / Poondu, 1, –,2016-2-10
30,Button Mushrooms / Button Kaalan, 1, 200,2016-2-10
31,Papaya / Papali, 1, 20,2016-2-10
32,Sav Sav, 1, 20,2016-2-10
33,Sapotta, 1, 20,2016-2-10
34,Field bean / Mochai, 1, 26,2016-2-10
,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 40,2016-3-10
1,Tomotto ottu / Thakkali Ottu, 1, 6,2016-3-10
2,Lady’s Finger / Venda Kai, 1, 14,2016-3-10
3,Snake Guard / Pudalai, 1, 14,2016-3-10
4,Bitter Gourd / Pakar kai, 1, 20,2016-3-10
5,Bottle gourd / Sura kai, 1, 8,2016-3-10
6,Pumpkin / Pusani kai, 1, 10,2016-3-10
7,Beans / Avarai Kai, 1, 24,2016-3-10
8,Cluster Beans / Kothavarai, 1, 14,2016-3-10
9,Red Chilies / Kundu Milagai, 1, 36,2016-3-10
10,Small Onion / Chinna Vengayam, 1, 24,2016-3-10
11,Big Onion / Pallari, 1, 18,2016-3-10
12,Ginger / Inji, 1, –,2016-3-10
13,Potato / Urulai Kelangu, 1, 26,2016-3-10
14,Radish / Mulangi, 1, 8,2016-3-10
15,Mango / Maa, 1, –,2016-3-10
16,Cabbage / Mutta Kose, 1, 16,2016-3-10
17,Carrot, 1, 40,2016-3-10
18,Beetroot, 1, 24,2016-3-10
19,Soya Beans, 1, 110,2016-3-10
20,Drumstick Beans / Murungai Beans, 1, 44,2016-3-10
21,Butter beans, 1, –,2016-3-10
22,Banana nut / Vala kai, 1 piece, 4,2016-3-10
