Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 20 to 25,2017_12_11
Tomato/தக்காளி 1st Quality,1, 15 to 20,2017_12_11
Tomato/தக்காளி 2nd Quality,1, 10 to 15,2017_12_11
Small Onion/சிறிய வெங்காயம்,1, 110 to 120,2017_12_11
Bellary/பெல்லாரி,1, 40 to 41,2017_12_11
Beans/பீன்ஸ் 1st Quality,1, 40 to 55,2017_12_11
Beans/பீன்ஸ் 2nd Quality,1, 35 to 50,2017_12_11
Carrot/கேரட் 1st Quality,1, 40 to 60,2017_12_11
Carrot/கேரட் 2nd Quality,1, 35 to 55,2017_12_11
Lady Finger/வெண்டைக்காய்,1, 13,2017_12_11
Tree Drumstick/மரம் முருங்கை,1, 110,2017_12_11
Plant Drumstick/செடி முருங்கை,1, 130,2017_12_11
Beans/அவரை ஒட்டு,1, 18,2017_12_11
Green Pulses/பச்சை பயிறு,1, 13,2017_12_11
White Pulses/வெள்ளை பயிறு,1, 18,2017_12_11
Zucchini/சுரைக்காய்,1, 5,2017_12_11
Beetroot/பீட்ரூட்,1, 12,2017_12_11
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2017_12_11
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 2 to 3,2017_12_11
Kalla Manga/கள்ள மாங்காய்,1, 85,2017_12_11
OOrutu Manga/உருட்டு மாங்காய்,1, 75,2017_12_11
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2017_12_11
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017_12_11
Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017_12_11
Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017_12_11
Green Chilli/பச்சை மிளகாய்,1, 12 to 18,2017_12_11
Cauliflower/காலிஃபிளவர் 1st Quality,1, 15 to 20,2017_12_11
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10 to 15,2017_12_11
Green Brinjal/கத்தரிக்காய் பச்சை,1, 25,2017_12_11
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 20,2017_12_11
Banana Thar/வாழை தார்,1, 20 to 24,2017_12_11
Curry Leaves/கறிவேப்பிலை,1, 18 to 20,2017_12_11
Gourd/புடலங்காய் 1st Quality,1, 6,2017_12_11
Gourd/புடலங்காய் 2nd Quality,1, –,2017_12_11
Coriander/கொத்தமல்லி 1st Quality,1, 10 to 15,2017_12_11
Coriander/கொத்தமல்லி 2nd Quality,1, 10,2017_12_11
Radish/முள்ளங்கி 1st Quality,1, 20 to 25,2017_12_11
Radish/முள்ளங்கி 2nd Quality,1, 15 to 20,2017_12_11
Ginger/இஞ்சி,1, 20 to 25,2017_12_11
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 90,2017_12_11
Cabbage/முட்டை கோஸ்,1, 25 to 30,2017_12_11
Green Peas/பச்சை பட்டாணி,1, 100 to 120,2017_12_11
Bitter Gourd/பாகற்காய்,1, 8 to 10,2017_12_11
Nookal/நூக்கல்,1, 20,2017_12_11
Chaw Chaw/சவ்சவ்,1, 7 to 8,2017_12_11
Kovakkai/கோவக்காய்,1, 30 to 33,2017_12_11
Cluster Beans/கொத்தவரங்காய்,1, 20 to 28,2017_12_11
Gooseberry/நெல்லிக்காய்,1, 20 to 28,2017_12_11
Narthangai/நார்த்தங்காய்,1, 20,2017_12_11
Cucumber/வெள்ளரிக்காய்,1, 30,2017_12_11
Garlic/வெள்ளை பூண்டு,1, 100 to 120,2017_12_11
Gourd/பீர்க்கங்காய்,1, 18 to 20,2017_12_11
Small Tuber/சிறு கிழங்கு,1, 30 to 35,2017_12_11
Colocasia/சேப்பங்கிழங்கு,1, 35,2017_12_11
Soya beans/சோயா பீன்ஸ்,1, 80 to 120,2017_12_11
Butter Soya/பட்டர் சோயா,1, 90 to 100,2017_12_11
Senai Kilangu/சேனை கிழங்கு,1, 35,2017_12_11
Karunai Kilangu/கருணைக்கிழங்கு,1, 30,2017_12_11
Drumstick beans/முருங்கை பீன்ஸ்,1, 30,2017_12_11
Mangai Inji/மாங்காய் இஞ்சி,1, 40,2017_12_11
